Name,Age,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,MIL
Matt Albers\alberma01,36,59.2,,67,258,222,34,53,11,0,8,5,1,29,57,0.239,0.332,0.396,0.728,0.283,88,8,3,2,2,3,3,MIL
Chase Anderson\anderch01,31,139,,32,592,526,67,126,29,6,23,11,3,50,124,0.24,0.314,0.449,0.763,0.27,236,6,8,6,2,2,5,MIL
Jacob Barnes\barneja01,29,19.2,,18,95,83,17,22,4,0,3,2,0,11,22,0.265,0.347,0.422,0.769,0.322,35,1,0,0,1,1,4,MIL
Ray Black\blackra01,29,14,,15,59,50,8,10,0,1,4,1,0,8,13,0.2,0.322,0.48,0.802,0.182,24,1,1,0,0,0,0,MIL
Corbin Burnes\burneco01,24,49,,32,235,212,52,70,11,0,17,4,0,20,70,0.33,0.388,0.623,1.011,0.424,132,4,0,3,0,0,2,MIL
Jhoulys Chacin\chacijh01,31,88.2,,19,403,351,61,99,15,2,19,5,1,39,80,0.282,0.358,0.499,0.857,0.313,175,6,5,4,4,1,4,MIL
Alex Claudio*\claudal01,27,62,,83,267,232,29,57,15,1,8,3,2,24,44,0.246,0.328,0.422,0.751,0.268,98,7,6,1,3,2,2,MIL
Zach Davies\davieza02,26,159.2,,31,672,606,73,155,27,5,20,10,7,51,102,0.256,0.313,0.416,0.729,0.276,252,14,2,7,5,0,11,MIL
Jake Faria\fariaja01,25,8.2,,9,48,41,12,18,4,0,3,1,0,5,8,0.439,0.5,0.756,1.256,0.484,31,1,1,0,1,0,0,MIL
Gio Gonzalez*\gonzagi01,33,87.1,,19,366,325,36,76,14,6,9,7,2,37,78,0.234,0.312,0.397,0.709,0.282,129,7,0,4,0,0,2,MIL
Deolis Guerra\guerrde01,30,0.2,,1,6,5,4,4,0,0,1,0,0,0,0,0.8,0.667,1.4,2.067,0.6,7,0,0,0,1,0,0,MIL
Junior Guerra\guerrju02,34,83.2,,72,344,299,35,58,12,1,11,6,1,36,77,0.194,0.287,0.351,0.639,0.221,105,5,4,3,2,2,3,MIL
Josh Hader*\haderjo01,25,75.2,,61,289,265,24,41,7,2,15,1,1,20,138,0.155,0.225,0.366,0.591,0.232,97,2,4,0,0,2,0,MIL
Donnie Hart*\hartdo01,28,6.2,,4,26,22,0,4,0,0,0,0,1,4,3,0.182,0.308,0.182,0.49,0.211,4,1,0,0,0,1,0,MIL
Adrian Houser\housead01,26,111.1,,35,462,414,49,101,14,4,14,13,6,37,117,0.244,0.312,0.399,0.71,0.304,165,10,5,3,3,2,5,MIL
Jay Jackson\jacksja01,31,30.1,,28,132,109,15,22,4,0,6,4,0,18,47,0.202,0.321,0.404,0.724,0.276,44,1,2,1,2,1,1,MIL
Jeremy Jeffress\jeffrje01,31,52,,48,225,201,32,54,10,0,5,0,1,17,46,0.269,0.341,0.393,0.734,0.327,79,5,5,2,0,0,1,MIL
Jordan Lyles\lylesjo01,28,58.2,,11,238,213,19,43,5,1,9,2,1,22,56,0.202,0.274,0.362,0.636,0.227,77,2,0,1,2,1,2,MIL
Jimmy Nelson\nelsoji02,30,22,,10,105,86,18,25,4,3,4,1,0,17,26,0.291,0.419,0.547,0.966,0.375,47,5,2,0,0,1,1,MIL
Freddy Peralta\peralfr01,23,85,,39,382,339,58,87,19,2,15,4,1,37,115,0.257,0.332,0.457,0.79,0.343,155,2,2,3,1,1,4,MIL
Hernan Perez\perezhe01,28,3,,3,11,9,1,2,0,0,1,0,0,2,1,0.222,0.364,0.556,0.919,0.143,5,2,0,0,0,0,0,MIL
Jake Petricka\petrija01,31,8,,6,36,29,3,6,3,0,0,2,0,6,3,0.207,0.333,0.31,0.644,0.222,9,0,0,0,1,1,0,MIL
Drew Pomeranz*\pomerdr01,30,26.1,,25,100,91,7,16,2,0,4,0,1,8,45,0.176,0.24,0.33,0.57,0.279,30,2,0,0,1,0,0,MIL
Burch Smith\smithbu03,29,12.2,,7,65,54,11,16,4,0,3,0,0,10,14,0.296,0.415,0.537,0.952,0.351,29,1,1,0,0,2,1,MIL
Brent Suter*\suterbr01,29,18.1,,9,65,64,1,10,2,1,1,0,1,1,15,0.156,0.169,0.266,0.435,0.188,17,1,0,0,0,0,1,MIL
Aaron Wilkerson\wilkeaa01,30,16,,8,80,70,13,25,4,0,4,0,1,9,11,0.357,0.425,0.586,1.011,0.375,41,1,0,0,1,1,0,MIL
Devin Williams\willide03,24,13.2,,13,67,58,9,18,5,0,2,2,0,6,14,0.31,0.394,0.5,0.894,0.381,29,1,2,1,0,0,2,MIL
Taylor Williams\willita01,27,14.2,,10,73,64,17,22,4,0,1,1,0,7,15,0.344,0.425,0.453,0.878,0.438,29,1,2,0,0,2,1,MIL
Alex Wilson\wilsoal01,32,11.1,,13,57,48,12,15,3,0,3,1,0,9,13,0.313,0.421,0.563,0.984,0.375,27,0,0,0,0,2,0,MIL
Brandon Woodruff\woodrbr01,26,121.2,,22,493,454,49,109,15,1,12,8,3,30,143,0.24,0.293,0.357,0.65,0.322,162,12,5,2,2,0,1,MIL
League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL
Team Total,28.7,,,750,6251,5542,766,1364,247,36,225,94,34,570,1497,0.246,0.321,0.425,0.747,0.296,2358,109,60,43,34,28,56,MIL
