Name,Age,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
Austin Adams\adamsau02,28,1,,1,6,3,1,0,0,0,0,0,0,2,2,0,0.5,0,0.5,0,0,0,1,0,0,0,0
Kyle Barraclough\barraky01,29,25.2,,33,124,109,21,33,5,0,8,0,2,12,30,0.303,0.379,0.569,0.948,0.347,62,0,2,0,1,2,2
Aaron Barrett\barreaa01,31,2.1,,3,16,12,4,5,0,0,1,0,0,4,1,0.417,0.563,0.667,1.229,0.4,8,0,0,0,0,0,0
Michael Blazek\blazemi01,30,5,,4,26,21,4,6,1,0,1,0,0,5,0,0.286,0.423,0.476,0.899,0.25,10,0,0,0,0,0,0
James Bourque\bourqja01,25,0.2,,1,6,4,4,3,2,0,0,0,0,2,0,0.75,0.833,1.25,2.083,0.75,5,1,0,0,0,0,0
Patrick Corbin*\corbipa01,29,202,,33,835,746,81,169,37,1,24,11,6,70,238,0.227,0.293,0.375,0.668,0.295,280,14,3,8,8,2,9
Sean Doolittle*\doolise01,32,60,,63,260,242,27,63,10,3,11,3,0,15,66,0.26,0.309,0.463,0.772,0.315,112,0,2,1,0,2,0
Brian Dozier\doziebr01,32,1,,1,5,5,2,2,1,0,1,0,0,0,0,0.4,0.4,1.2,1.6,0.25,6,0,0,0,0,0,0
Roenis Elias*\eliasro01,30,3,,4,13,12,4,5,0,0,2,1,0,1,2,0.417,0.462,0.917,1.378,0.375,11,2,0,0,0,0,0
Erick Fedde\feddeer01,26,78,,21,334,293,39,81,16,1,11,6,3,33,41,0.276,0.352,0.451,0.802,0.288,132,12,2,4,2,2,2
Matt Grace*\gracema02,30,46.2,,51,206,191,34,61,13,0,11,1,1,10,35,0.319,0.356,0.56,0.916,0.34,107,8,2,1,2,0,3
Javy Guerra\guerrja01,33,53.2,,40,228,215,30,55,7,2,9,2,0,12,42,0.256,0.294,0.433,0.726,0.279,93,1,0,0,1,2,2
Jeremy Hellickson\hellije01,32,39,,9,183,160,31,47,10,0,9,6,0,20,30,0.294,0.374,0.525,0.899,0.311,84,4,1,1,1,1,3
Daniel Hudson\hudsoda01,32,25,,24,97,90,7,18,5,0,3,1,0,4,23,0.2,0.237,0.356,0.593,0.227,32,1,1,0,2,2,0
Dan Jennings*\jennida01,32,4.2,,8,32,24,8,8,0,0,1,0,0,7,9,0.333,0.5,0.458,0.958,0.5,11,0,1,0,0,2,2
Kyle McGowin\mcgowky01,27,16,,7,76,69,19,22,2,0,7,0,0,4,18,0.319,0.36,0.652,1.012,0.333,45,2,1,1,1,0,3
Justin Miller\milleju02,32,15.2,,17,65,58,8,16,0,0,5,0,3,4,11,0.276,0.344,0.534,0.878,0.262,31,1,2,1,0,0,0
Gerardo Parra*\parrage01,32,0,,1,5,1,5,1,0,0,0,0,0,4,0,1,1,1,2,1,1,0,0,0,0,0,0
Tanner Rainey\raineta01,26,48.1,,52,214,170,22,32,7,1,6,3,1,38,74,0.188,0.349,0.347,0.696,0.289,59,2,4,2,0,2,1
Fernando Rodney\rodnefe01,42,33.1,,38,140,124,16,29,6,0,3,2,0,16,35,0.234,0.321,0.355,0.676,0.302,44,5,0,0,0,1,1
Trevor Rosenthal\rosentr01,29,6.1,,12,43,24,16,8,0,0,0,0,0,15,5,0.333,0.605,0.333,0.938,0.4,8,2,3,0,1,0,0
Joe Ross\rossjo01,26,64,,27,295,254,41,74,19,0,7,1,0,33,57,0.291,0.38,0.449,0.829,0.351,114,7,4,3,1,1,1
Anibal Sanchez\sanchan01,35,166,,30,712,647,77,153,38,3,22,15,0,58,134,0.236,0.302,0.406,0.709,0.266,263,7,4,1,2,10,11
Max Scherzer\scherma01,34,172.1,,27,693,650,59,144,43,0,18,8,1,33,243,0.222,0.266,0.371,0.637,0.322,241,7,7,0,2,2,2
Tony Sipp*\sippto01,35,21,,36,92,79,12,19,4,0,1,0,0,9,18,0.241,0.315,0.329,0.644,0.286,26,0,1,0,3,0,1
Stephen Strasburg\strasst01,30,209,,33,841,768,79,161,25,5,24,16,2,56,251,0.21,0.271,0.349,0.62,0.276,268,14,10,3,4,4,4
Hunter Strickland\strichu01,30,21,,24,92,81,12,20,5,0,5,3,0,8,15,0.247,0.326,0.494,0.82,0.242,40,2,2,0,1,0,1
Wander Suero\suerowa01,27,71.1,,78,296,264,36,64,14,0,5,6,3,26,81,0.242,0.314,0.352,0.666,0.326,93,5,3,0,3,3,0
Jonny Venters*\ventejo01,34,3.1,,3,18,14,3,3,0,0,0,0,0,2,5,0.214,0.389,0.214,0.603,0.333,3,0,2,0,0,1,1
Austin Voth\vothau01,27,43.2,,9,174,155,16,33,9,2,5,0,2,13,44,0.213,0.283,0.394,0.677,0.259,61,1,3,1,2,2,0
Austen Williams\williau01,26,0.1,,2,7,6,6,5,2,0,2,1,0,1,1,0.833,0.857,2.167,3.024,1,13,0,0,0,0,0,0
League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Total,30.8,,,692,6134,5491,724,1340,281,18,202,86,24,517,1511,0.244,0.314,0.412,0.726,0.298,2263,98,61,27,37,41,49
